https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),9771,9771,265,265
Alagoas (AL),22962,22962,768,768
Amapá (AP),16813,16813,329,329
Amazonas (AM),56777,56777,2512,2512
Bahia (BA),37621,37620,1145,1145
Ceará (CE),81289,79462,5070,4999
Distrito Federal(DF),24126,23684,334,319
Espírito Santo (ES),27652,27581,1087,1086
Goiás (GO),10822,10182,246,226
Maranhão (MA),60592,60592,1499,1499
Mato Grosso (MT),6390,6185,223,216
Mato Grosso do Sul (MS),3785,3551,36,33
Minas Gerais (MG),22024,21728,502,481
Pará (PA),71243,69224,4291,4201
Paraíba (PB),28668,28668,656,656
Paraná (PR),9839,9716,342,334
Pernambuco (PE),46427,45507,3959,3886
Piauí (PI),10881,10357,393,374
Rio de Janeiro (RJ),80946,80946,7728,7728
Rio Grande do Norte (RN),14214,14214,553,553
Rio Grande do Sul (RS),15438,15438,360,360
Rondônia (RO),12180,12180,332,332
Roraima (RR),6935,6881,216,203
Santa Catarina (SC),13960,13960,199,199
São Paulo (SP),190285,181460,11132,10767
Sergipe (SE),15675,15675,352,352
Tocantins (TO),7309,7137,136,136
TOTAL,904624,888271,44665,43959
